danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,key,mode,duration_ms,time_signature,popularity,release_date,track_title,track_artist,playlist_id,playlist_name,id
0.358,0.284,-8.285,0.0285,0.805,0.0,0.183,0.276,99.796,7,1,180853,3,85,2022-12-09,Nobody Gets Me,SZA,37i9dQZF1DXcBWIGoYBM5M,Today's Top Hits,5Y35SjAfXjjG0sFQ3KOxmm
0.637,0.643,-6.571,0.0519,0.13,1.8e-06,0.142,0.533,97.008,4,1,200690,4,97,2022-10-21,Anti-Hero,Taylor Swift,37i9dQZF1DXcBWIGoYBM5M,Today's Top Hits,0V3wPSX9ygBnCm8psDIegu
0.714,0.472,-7.375,0.0864,0.013,4.51e-06,0.266,0.238,131.121,2,1,156943,4,100,2022-09-22,Unholy (feat. Kim Petras),Sam Smith,37i9dQZF1DXcBWIGoYBM5M,Today's Top Hits,3nqQXoyQOWXiESFLlDF1hG
0.78,0.689,-5.668,0.141,0.0368,9.69e-06,0.0698,0.642,115.042,7,1,225389,4,93,2022-07-29,CUFF IT,Beyoncé,37i9dQZF1DXcBWIGoYBM5M,Today's Top Hits,1xzi1Jcr7mEi9K2RfzLOqS
0.715,0.62,-6.005,0.0484,0.417,0.0,0.0822,0.172,97.95,1,0,221520,4,89,2022-12-02,Creepin' (with The Weeknd & 21 Savage),Metro Boomin,37i9dQZF1DXcBWIGoYBM5M,Today's Top Hits,2dHHgzDwk4BJdRwy9uXhTO
0.801,0.806,-5.206,0.0381,0.382,0.000669,0.114,0.802,106.999,11,1,239318,4,93,2022-08-25,Calm Down (with Selena Gomez),Rema,37i9dQZF1DXcBWIGoYBM5M,Today's Top Hits,0WtM2NBVQNNJLh6scP13H8
0.838,0.525,-3.562,0.0665,0.345,1.92e-06,0.0771,0.884,144.981,10,1,134256,4,94,2022-10-21,Made You Look,Meghan Trainor,37i9dQZF1DXcBWIGoYBM5M,Today's Top Hits,0QHEIqNKsMoOY5urbzN48u
0.52,0.731,-5.338,0.0557,0.342,0.00101,0.311,0.662,173.93,6,0,167303,4,93,2022-03-31,As It Was,Harry Styles,37i9dQZF1DXcBWIGoYBM5M,Today's Top Hits,4LRPiXqCikLlN15c3yImP7
0.65,0.715,-5.198,0.253,0.0993,0.000291,0.126,0.187,106.672,5,0,243717,4,95,2022-05-06,Tití Me Preguntó,Bad Bunny,37i9dQZF1DXcBWIGoYBM5M,Today's Top Hits,1IHWl5LamUGEuP4ozKQSXZ
0.561,0.965,-3.673,0.0343,0.00383,7.07e-06,0.371,0.304,128.04,7,0,175238,4,97,2022-08-26,I'm Good (Blue),David Guetta,37i9dQZF1DXcBWIGoYBM5M,Today's Top Hits,4uUG5RXrOk84mYEfFvj3cK
0.561,0.52,-9.342,0.244,0.0503,1.86e-06,0.355,0.424,153.15,11,0,239360,3,96,2022-11-04,Rich Flex,Drake,37i9dQZF1DXcBWIGoYBM5M,Today's Top Hits,1bDbXMyjaUIooNwFE9wn0N
0.733,0.67,-6.009,0.0751,0.121,0.0,0.121,0.472,100.964,5,1,192841,4,89,2022-06-03,I Like You (A Happier Song) (with Doja Cat),Post Malone,37i9dQZF1DXcBWIGoYBM5M,Today's Top Hits,0O6u0VJ46W86TxN9wgyqDj
0.587,0.742,-6.64,0.0529,0.0128,0.00107,0.146,0.199,145.007,6,0,206000,4,94,2022-08-05,Miss You,Oliver Tree,37i9dQZF1DXcBWIGoYBM5M,Today's Top Hits,73vIOb4Q7YN6HeJTbscRx5
0.71,0.879,-4.218,0.0422,0.158,0.00142,0.439,0.341,114.993,0,1,201391,4,92,2022-11-20,Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],Jung Kook,37i9dQZF1DXcBWIGoYBM5M,Today's Top Hits,1RDvyOk4WtPCtoqciJwVn8
0.704,0.797,-5.927,0.0475,0.0826,0.000745,0.0546,0.825,139.994,0,1,148486,4,95,2022-05-13,I Ain't Worried,OneRepublic,37i9dQZF1DXcBWIGoYBM5M,Today's Top Hits,4h9wh7iOZ0GGn8QVp4RAOB
0.733,0.436,-10.489,0.08,0.258,0.000573,0.157,0.0976,96.985,10,1,202396,4,90,2022-10-21,Lavender Haze,Taylor Swift,37i9dQZF1DXcBWIGoYBM5M,Today's Top Hits,5jQI2r1RdgtuT8S3iG8zFC
0.824,0.453,-9.604,0.0968,0.146,0.0273,0.0896,0.552,119.959,3,0,181831,4,90,2022-10-28,Shirt,SZA,37i9dQZF1DXcBWIGoYBM5M,Today's Top Hits,34ZAzO78a5DAVNrYIGWcPm
0.515,0.593,-4.801,0.0322,0.653,0.162,0.25,0.153,94.467,4,1,209260,3,89,2022-09-23,golden hour,JVKE,37i9dQZF1DXcBWIGoYBM5M,Today's Top Hits,5odlY52u43F5BjByhxg7wg
0.835,0.679,-5.329,0.0364,0.583,1.98e-06,0.218,0.85,124.98,7,0,162638,4,97,2022-05-26,La Bachata,Manuel Turizo,37i9dQZF1DXcBWIGoYBM5M,Today's Top Hits,5ww2BF9slyYgNOk37BlC4u
0.714,0.728,-4.595,0.0468,0.298,0.0,0.106,0.901,114.996,10,1,177955,4,90,2022-05-20,Late Night Talking,Harry Styles,37i9dQZF1DXcBWIGoYBM5M,Today's Top Hits,1qEmFfgcLObUfQm0j1W2CK
0.247,0.299,-6.083,0.0315,0.899,0.0,0.131,0.172,177.115,9,1,196520,4,90,2022-10-28,Lift Me Up - From Black Panther: Wakanda Forever - Music From and Inspired By,Rihanna,37i9dQZF1DXcBWIGoYBM5M,Today's Top Hits,35ovElsgyAtQwYPYnZJECg
0.538,0.742,-5.355,0.114,0.138,4.67e-05,0.0934,0.25,96.107,2,1,272373,4,86,2022-10-12,Escapism.,RAYE,37i9dQZF1DXcBWIGoYBM5M,Today's Top Hits,5Z2MiIZ5I3jJvvmeWMLbOQ
